event_id,long,lat,eiso,dist,angle,time_utc,seen,obs_time,end_time
525,3.122,-0.895,7.17e+49,850000.0,25.544,2012-04-04 05:43:16.163,True,1,61
526,0.486,-0.075,8.36e+49,591000.0,44.727,2012-05-03 15:58:00.450,False,-1,-1
527,2.972,-0.484,1.67e+50,834000.0,32.786,2012-05-12 23:31:18.586,False,-1,-1
528,0.333,-0.475,9.749999999999989e+49,544000.0,80.49,2011-09-14 21:54:40.563,False,-1,-1
529,6.165,0.223,7.719999999999991e+50,1300000.0,57.955,2012-04-08 15:52:08.831,True,27,87
530,0.401,0.639,2.09e+51,833000.0,9.692,2012-04-02 17:16:40.031,True,1,61
531,1.057,-0.206,1.2199999999999999e+51,157000.0,54.302,2011-11-17 15:54:31.149,False,-1,-1
532,4.449,-0.783,1.2199999999999999e+51,474000.0,45.328,2012-04-09 20:44:36.473,False,-1,-1
533,4.857,1.085,5.29e+48,905000.0,68.325,2012-02-26 14:31:24.391,True,1,61
534,6.274,0.891,1.55e+48,332000.0,56.633,2011-09-24 02:54:31.177,False,-1,-1
535,2.306,-0.489,1.43e+51,141000.0,38.494,2012-07-18 05:46:32.802,True,191,251
536,5.97,0.334,2.27e+49,404000.0,39.071,2012-01-31 12:17:17.553,False,-1,-1
537,5.353,-0.559,2.1e+50,356000.0,61.779,2012-01-30 23:08:58.573,False,-1,-1
538,3.889,1.077,2.6400000000000003e+50,1270000.0,63.015,2011-10-19 22:33:37.159,False,-1,-1
539,2.286,-0.357,1.8e+50,3270000.0,64.104,2012-06-30 10:35:48.888,False,-1,-1
540,4.97,-0.633,4.1900000000000004e+49,475000.0,41.93,2012-08-13 22:20:21.197,False,-1,-1
541,1.229,0.218,1.0499999999999999e+51,502000.0,35.485,2012-01-07 00:01:58.747,False,-1,-1
542,1.62,1.237,3.6e+49,753000.0,15.034,2012-03-24 11:03:28.909,False,-1,-1
543,1.885,-0.404,2.2600000000000003e+50,364000.0,40.7,2012-08-22 09:37:34.434,True,1,61
544,4.707,0.047,6.63e+50,470000.0,48.643,2012-04-25 09:10:08.122,True,1,61
545,4.654,-0.456,8.38e+48,173000.0,40.912,2011-11-10 17:51:20.157,False,-1,-1
546,4.169,0.3,4.18e+50,618000.0,52.736,2012-07-11 13:29:03.415,True,1,61
547,2.294,-1.026,1.8e+50,882000.0,38.891,2012-01-28 00:55:52.540,True,126,186
548,2.351,-0.294,2.09e+51,200000.0,38.661,2012-06-12 03:43:56.804,True,100,160
549,3.192,0.433,2.46e+48,361000.0,15.977,2012-06-29 12:01:38.848,True,1,61
550,0.687,0.988,7.19e+48,343000.0,32.713,2011-12-22 05:12:46.014,False,-1,-1
551,5.231,0.706,2.63e+52,452000.0,29.33,2012-03-31 12:28:41.677,True,13,73
552,5.407,-1.227,2.28e+48,1070000.0,17.487,2012-05-02 23:16:34.990,True,1,61
553,6.033,-0.296,1.9399999999999998e+51,841000.0,16.92,2012-07-10 13:14:53.638,True,1,61
554,5.544,-0.447,7.719999999999991e+50,407000.0,47.117,2012-08-16 21:15:47.941,False,-1,-1
